住所,時間,動作
日本、〒166-0016 東京都杉並区成田西２丁目７−１６ メゾン成田,8:46,開始
日本、〒166-0016 東京都杉並区成田西２丁目７−１６ メゾン成田,8:57,集荷
日本、〒166-0016 東京都杉並区成田西１丁目６−１９,9:09,移動
日本、〒168-0061 東京都杉並区大宮１丁目５−１３,9:21,移動
日本、〒168-0071 東京都杉並区 環八通り,9:38,移動
日本、〒156-0056 東京都世田谷区八幡山３丁目１５−８,9:49,移動
日本、〒156-0056 東京都世田谷区八幡山１丁目２−１３,9:59,移動
日本、〒156-0055 東京都世田谷区船橋４丁目３−１５,10:07,移動
日本、〒157-0071 東京都世田谷区千歳台３丁目２８−４,10:17,移動
日本、〒157-0062 東京都世田谷区南烏山３丁目１１−２４,10:32,移動
日本、〒157-0061 東京都世田谷区北烏山１丁目１６−４,10:43,移動
日本、〒157-0061 東京都世田谷区北烏山１丁目５０−２０,10:49,移動
日本、〒157-0061 東京都世田谷区北烏山２丁目１０−Ｂ コーシャハイム久我山Ｂ棟,10:57,移動
日本、〒168-0082 東京都杉並区久我山２丁目１８−１８,11:09,移動
日本、〒168-0081 東京都杉並区宮前３丁目３５−１１,11:23,移動
日本、〒168-0081 東京都杉並区宮前２丁目１４−１７,11:33,移動
日本、〒167-0052 東京都杉並区南荻窪２丁目２３−１６,11:42,移動
日本、〒168-0063 東京都杉並区和泉３丁目１０−６,12:01,移動
日本、〒168-0063 東京都杉並区和泉２丁目１７−２１,12:09,移動
日本、〒156-0044 東京都世田谷区赤堤４丁目３６ メゾン大森,12:23,移動
日本、〒156-0044 東京都世田谷区赤堤４丁目１９−８,12:30,移動
日本、〒156-0044 東京都世田谷区赤堤５丁目３−９,12:38,移動
日本、〒156-0044 東京都世田谷区赤堤３丁目１２−１６ 赤堤徒然寮,12:46,移動
日本、〒156-0044 東京都世田谷区赤堤２丁目５−１０ 豪徳寺ハイム,12:53,移動
日本、〒154-0021 東京都世田谷区豪徳寺１丁目１３−４,13:01,移動
日本、〒154-0022 東京都世田谷区梅丘２丁目６−１５,13:19,交換
日本、〒154-0023 東京都世田谷区若林４丁目３２−５ 国士舘大学世田谷キャンパス世田谷校舎メイプルセンチュリーホール,13:27,移動
日本、〒154-0003 東京都世田谷区野沢３丁目２５−４ ＢＬＥＳＳ学芸大学ｔｈｅＣｏｕｒｔ,13:43,移動
日本、〒154-0002 東京都世田谷区下馬３丁目４−３,13:49,移動
日本、〒154-0003 東京都世田谷区野沢２丁目９−６ ヒルトップノザワ,13:59,移動
日本、〒152-0023 東京都目黒区八雲５丁目３−２２ ユニテ八雲,14:11,移動
日本、〒154-0012 東京都世田谷区駒沢５丁目２−１０,14:22,移動
日本、〒154-0012 東京都世田谷区駒沢４丁目５−１２,14:33,移動
日本、〒158-0081 東京都世田谷区深沢１丁目８−４ ニチロビルディングパシフィックニュー自由が丘,14:48,移動
日本、〒158-0082 東京都世田谷区等々力６丁目２４−１３,14:56,移動
日本、〒152-0035 東京都目黒区自由が丘１丁目２１−２１,15:06,配達
